soc_code,occupation_title,aioe_score,aioe_zscore,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,n_activities,education_level,college_required,annual_median_wage,log_wage,wage_percentile
47-5012,"Rotary Drill Operators, Oil and Gas",-0.7737326,-0.7737325938025884,0.1912017167381974,0.2531473533619456,0.27682403433476394,0.20135908440629469,41.0,2.148478484212058,0,65010.0,11.082296383198514,62.001477104874446
47-5013,"Service Unit Operators, Oil, Gas, and Mining",-0.971916,-0.9719159939691132,0.1767081790642881,0.2904072702793672,0.2610568832043083,0.2035005048805116,41.0,1.458181818181818,0,57980.0,10.967853402475647,48.74446085672083
47-5021,"Earth Drillers, Except Oil and Gas",-0.7018391,-0.7018390937421795,,,,,,,0,,,
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.773027,-0.7730269938019956,,,,,,,0,,,
47-5041,Continuous Mining Machine Operators,-1.165492,-1.1654919941317667,0.1923552187165335,0.2507620067550869,0.3024960869923387,0.20907817777411647,41.0,1.8432000000000002,0,63380.0,11.05690363324491,59.822747415066466
47-5042,Mine Cutting and Channeling Machine Operators,-1.200425,-1.2004249941611194,,,,,,,0,,,
47-5051,"Rock Splitters, Quarry",-1.763494,-1.7634939946342414,0.19162374890681177,0.2540083568166359,0.2930716159751239,0.20202118355844914,41.0,2.4712727272727273,0,47460.0,10.767642529989754,30.612998522895126
47-5061,"Roof Bolters, Mining",-1.618518,-1.6185179945124244,,,,,,,0,,,
47-5071,"Roustabouts, Oil and Gas",-1.518977,-1.5189769944287848,0.19860368389780153,0.26210635769459295,0.27406417112299464,0.20625371360665476,41.0,1.2691636363636365,0,47510.0,10.768695494180967,30.98227474150665
47-5081,Helpers--Extraction Workers,-1.543154,-1.5431539944490995,0.19988086570917996,0.2594480111192005,0.27983321199285194,0.19974849427493546,41.0,1.7770132077701324,0,48400.0,10.787255092704724,32.754800590841946
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",-0.0205169,-0.020516893169694267,0.20679280604399278,0.24724209400280803,0.23968710302868224,0.20739453098883467,41.0,2.470325694703257,0,78300.0,11.268302881978894,74.37223042836041
49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.3458247,-0.3458246934430361,0.1895016269909231,0.23779756807672547,0.3011645829765371,0.1910429868128104,41.0,2.791966257919663,0,46860.0,10.754919712061787,28.175775480059084
49-2021,Radio Mechanics,-0.6335382,-0.6335381936847893,0.20507695382770338,0.24611899526950495,0.2597774668532214,0.2010127256979146,41.0,2.742210584694833,0,64190.0,11.069602714305823,60.78286558345643
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.853048,-0.8530479938692337,0.2025287531418996,0.2591971970447102,0.25874019346484883,0.20176708050879735,41.0,2.7103744171037443,0,62630.0,11.044999675519458,58.30871491875923
49-2091,Avionics Technicians,-0.1728535,-0.17285349329769603,0.22128402969864608,0.2422477798806231,0.2689620032027952,0.1952249235696608,41.0,2.7208727272727273,0,81390.0,11.307007694321086,77.40029542097489
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.8106341,-0.8106340938335952,0.2100602196245129,0.2406659582004959,0.2822529224229543,0.20283386468296138,41.0,2.5503176955031766,0,53990.0,10.896554123212333,43.94387001477105
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.8303875,-0.830387493850193,0.2041761579347001,0.2338648443432043,0.27342444950645406,0.2026575550493546,41.0,2.806036363636364,0,82730.0,11.32333757218423,78.28655834564255
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.4632031,-0.46320309354166406,0.22096577017114916,0.23555929095354522,0.28002750611246946,0.20751833740831296,41.0,2.9592727272727273,0,71300.0,11.174651606402387,68.31610044313146
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.5522636,-0.5522635936164977,0.22325685339690104,0.22832240762812872,0.28836412395709177,0.196588200238379,41.0,2.934545454545455,0,100940.0,11.522281559894253,86.77991137370753
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.7915968,-0.791596793817599,0.19669339388348825,0.2470730149719719,0.24253175335272828,0.21194919463563472,41.0,2.1649454545454545,0,47940.0,10.777705507988376,31.53618906942393
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,-0.571284,-0.5712839936324797,0.20539123923624109,0.24949457132160238,0.2350430550355672,0.20292025458629723,41.0,2.5228295352282952,0,50620.0,10.832102034099115,40.10339734121123
49-2098,Security and Fire Alarm Systems Installers,-0.6926484,-0.692648393734457,0.2125545687189523,0.23460785789552915,0.27683275628481113,0.1996086105675147,41.0,2.237818181818182,0,59300.0,10.990364584985818,51.18168389955687
49-3011,Aircraft Mechanics and Service Technicians,-0.6551197,-0.6551196937029231,0.21478439425051335,0.24229979466119098,0.26913073237508556,0.20061601642710472,41.0,2.779854545454546,0,78680.0,11.273144272502995,75.0
49-3021,Automotive Body and Related Repairers,-1.180589,-1.180588994144452,0.2038177339901478,0.23914716748768475,0.2565424876847291,0.2142857142857143,41.0,1.8094627644582642,0,51680.0,10.852826138456484,41.506646971935005
49-3022,Automotive Glass Installers and Repairers,-1.202285,-1.2022849941626823,0.18684618364974817,0.24418829910887255,0.27237504843084076,0.1976946919798528,41.0,1.670903453981762,0,47260.0,10.763419550740899,29.72673559822747
49-3023,Automotive Service Technicians and Mechanics,-0.9547055,-0.954705493954652,0.1895280796413101,0.23656812827722473,0.2913595257998328,0.2005471540390607,41.0,2.2066909090909093,0,49670.0,10.813156408101396,38.03545051698671
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.010472,-1.01047199400151,0.2104196381653029,0.21882741535920724,0.30921102019367913,0.19503040312288866,41.0,2.341006827955523,0,60640.0,11.012710020316254,54.17282127031019
49-3041,Farm Equipment Mechanics,-1.20703,-1.2070299941666693,0.20699322482672688,0.24009033564364146,0.29156607740830154,0.20006230044389064,41.0,2.399121730354854,0,52080.0,10.860536276882451,42.61447562776957
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.169815,-1.1698149941353992,0.20549497238351508,0.235660671293018,0.2957088231128735,0.19841382240475852,41.0,2.3345574533455746,0,63980.0,11.066325813503509,60.635155096011815
49-3043,Rail Car Repairers,-1.448102,-1.4481019943692315,0.20794861501405057,0.2448815736651947,0.2769971898835809,0.21075873143315937,41.0,2.021847639309385,0,65680.0,11.092549744126309,62.998522895125554
49-3051,Motorboat Mechanics,-0.8863602,-0.8863601938972245,0.2018628553075317,0.22185643166854022,0.3023928055243295,0.1892564637867352,41.0,2.336509090909091,0,54950.0,10.914178959831768,45.27326440177253
49-3052,Motorcycle Mechanics,-0.763721,-0.7637209937941761,0.20459610027855155,0.22938718662952645,0.2839136490250696,0.2025766016713092,41.0,2.5961454545454545,0,47200.0,10.762149171573647,29.61595273264402
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.8941408,-0.8941407939037621,0.19660505469634101,0.24700113164843454,0.2786872878159185,0.1968313843832516,41.0,2.125672727272727,0,46560.0,10.74849708240532,27.326440177252586
49-3091,Bicycle Repairers,-0.9226068,-0.9226067939276809,0.18451008109515663,0.28926419165240685,0.24440145822483447,0.19485157354363514,41.0,1.6260363636363633,0,40360.0,10.605594474467546,16.322008862629247
49-3092,Recreational Vehicle Service Technicians,-0.9244052,-0.9244051939291921,0.19258920402561758,0.2525922537358951,0.2774473924977127,0.20394937480939312,41.0,2.2975843038849337,0,50540.0,10.830520380942184,39.88183161004431
49-3093,Tire Repairers and Changers,-1.550724,-1.5507239944554603,0.1934462561342409,0.2568466044008232,0.2580338768402723,0.19874940636378027,41.0,1.9182354491823541,0,37120.0,10.521911186900137,9.231905465288035
49-9011,Mechanical Door Repairers,-1.383152,-1.3831519943146569,0.188756927949327,0.26215360253365005,0.28091844813935074,0.18883610451306415,41.0,1.6893818181818183,0,51050.0,10.840560823592812,40.84194977843427
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.7606913,-0.7606912937916304,0.2150188289153068,0.24750793767998225,0.2797755297939895,0.19574688030716972,41.0,2.2642181818181815,0,74690.0,11.221101493351112,70.7533234859675
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.8491117,-0.8491116938659262,0.19604250641260537,0.2619274459508978,0.27101502381824844,0.19868083547086846,41.0,2.2088,0,59810.0,10.998928150038603,52.326440177252586
49-9031,Home Appliance Repairers,-0.9703799,-0.9703798939678225,0.20370804975357898,0.24180552296018148,0.2701243839474302,0.19439881092075414,41.0,1.8869658488696581,0,49410.0,10.807908111839795,36.96454948301329
49-9041,Industrial Machinery Mechanics,-1.133177,-1.133176994104614,0.20386100386100384,0.24007722007722007,0.2801544401544402,0.20555984555984558,41.0,2.3695357736953575,0,63760.0,11.062881313464096,60.26587887740029
49-9043,"Maintenance Workers, Machinery",-0.9735492,-0.9735491939704856,0.20333465660976577,0.23437872171496624,0.3052798729654625,0.2037316395394998,41.0,2.271363772713638,0,60500.0,11.010398644018933,53.84047267355982
49-9044,Millwrights,-1.266085,-1.2660849942162904,0.20913347356992604,0.258193662210762,0.26647214494130417,0.19786930854312273,41.0,2.190109090909091,0,65170.0,11.084754519326426,62.25997045790251
49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.237463,-1.2374629941922408,0.20328096519399358,0.2535370193559587,0.2651679541706449,0.2096172207273674,41.0,1.9500363636363636,0,58540.0,10.977465560245877,50.147710487444606
49-9051,Electrical Power-Line Installers and Repairers,-1.081398,-1.0813979940611063,0.16537830873740925,0.25126883735457173,0.2957757476380105,0.20691809166861874,41.0,2.0411636363636365,0,92560.0,11.435612361867559,82.49630723781388
49-9052,Telecommunications Line Installers and Repairers,-1.083883,-1.0838829940631942,0.20105201636469905,0.2644652250146114,0.2598626534190532,0.19601110461718294,41.0,1.9335272727272725,0,70500.0,11.16336798880036,67.42983751846381
49-9061,Camera and Photographic Equipment Repairers,0.0546422,0.05464220689345864,0.19237117183201907,0.2333577847056666,0.2765450210893086,0.20887584815697782,41.0,2.3749011264762836,0,49300.0,10.805679360030782,36.63220088626292
49-9062,Medical Equipment Repairers,-0.2768838,-0.27688379338510816,0.22670783481281356,0.23126206098031646,0.2987263604785797,0.19505982246236972,41.0,2.866150251388775,0,62630.0,11.044999675519458,58.30871491875923
49-9063,Musical Instrument Repairers and Tuners,-0.5306271,-0.5306270935983175,0.18899484133187433,0.2493356260747225,0.25097702047834924,0.20673753321869626,41.0,2.324641555064597,0,45320.0,10.721503715141942,24.1506646971935
49-9064,Watch Repairers,-0.2123996,-0.2123995933309249,0.21361601486612045,0.21555874651575302,0.27308049666356954,0.2055916884872033,41.0,2.689623507805326,0,60690.0,11.013534218829902,54.28360413589365
49-9071,"Maintenance and Repair Workers, General",-1.014408,-1.0144079940048174,0.20651488616462346,0.2442031523642732,0.28294220665499126,0.2,41.0,2.3972248995253587,0,48620.0,10.791790247870114,33.899556868537665
49-9081,Wind Turbine Service Technicians,-0.9709935,-0.970993493968338,0.21282598224729923,0.2353264983141815,0.30998417394894373,0.19727516686162527,41.0,2.6231104162311043,0,62580.0,11.044201017222873,58.16100443131462
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.7233995,-0.7233994937602957,0.21889929294859545,0.23179820370724252,0.29122874068412,0.18698643225683165,41.0,1.8000727272727275,0,47350.0,10.765322098614224,30.059084194977842
49-9092,Commercial Divers,-1.102728,-1.1027279940790287,0.19382806759735488,0.25973548861131524,0.2652461425422484,0.20213078618662747,41.0,2.700388220640246,0,61130.0,11.020758023022772,55.096011816838995
49-9093,"Fabric Menders, Except Garment",-1.372839,-1.372838994305991,,,,,,,0,,,
49-9094,Locksmiths and Safe Repairers,-0.8657498,-0.8657497938799065,0.19291619156214368,0.25520239452679594,0.25655644241733183,0.19370011402508552,41.0,2.018181818181818,0,50490.0,10.829530575852962,39.80797636632201
